Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: (((a motorcycle) (standing ((in front) a))) winery)	Gold Tree: ((a motorcycle) (standing ((in front) (a winery))))
Pred Tree: (((two dogs) (are laying)) ((on a) couch))	Gold Tree: ((two dogs) (are (laying (on (a couch)))))
Pred Tree: ((a (baseball player)) (((looks at) the) catcher))	Gold Tree: ((a (baseball player)) (looks (at (the catcher))))
Pred Tree: (((a cake) piece) (((in the) plate) .))	Gold Tree: ((a (cake piece)) ((in (the plate)) .))
Pred Tree: ((there is) ((a child) ((that is) looking)))	Gold Tree: (there (is ((a child) (that (is looking)))))
Pred Tree: (((a fire) hydrant) (((on a) city) street))	Gold Tree: ((a (fire hydrant)) (on (a (city street))))
Pred Tree: ((train with) (wings (((on front) of) it)))	Gold Tree: (train ((with wings) (on (front (of it)))))
Pred Tree: (((a person) (((walks in) a) big)) building)	Gold Tree: ((a person) (walks (in (a (big building)))))
Pred Tree: ((tons of) (((baskets of) apples) (for sale)))	Gold Tree: (tons ((of (baskets (of apples))) (for sale)))
Pred Tree: ((someone has) (((an electronic) device) (torn apart)))	Gold Tree: (someone (has ((an (electronic device)) (torn apart))))
Pred Tree: ((((a cart) filled) with) ((suitcases and) bags))	Gold Tree: ((a cart) (filled (with (suitcases (and bags)))))
Pred Tree: ((((a large) post) with) ((a clock) outside))	Gold Tree: ((a (large post)) (with ((a clock) outside)))
Pred Tree: (((a lady) (snow skiing)) ((on flat) ground))	Gold Tree: ((a lady) (snow (skiing (on (flat ground)))))
Pred Tree: (((a washroom) having) ((toilet ,) (bathtub .)))	Gold Tree: ((a washroom) ((having (toilet (, bathtub))) .))
Pred Tree: ((two men) ((on skateboards) ((on the) pavement)))	Gold Tree: ((two men) (on (skateboards (on (the pavement)))))
Pred Tree: ((((a healthy) cat) (us lying)) (i .))	Gold Tree: ((a (healthy cat)) ((us (lying i)) .))
Pred Tree: ((renovated bathroom) ('s (((walk in) shower) and)))	Gold Tree: (((renovated (bathroom 's)) walk) ((in shower) and))
Pred Tree: ((((a young) child) ((riding a) black)) skateboard)	Gold Tree: ((a (young child)) (riding (a (black skateboard))))
Pred Tree: (((((a small) marina) with) boats) (docked there))	Gold Tree: ((a (small marina)) (with (boats (docked there))))
Pred Tree: (((two horses) (grazing together)) ((in a) field))	Gold Tree: ((two horses) (grazing (together (in (a field)))))
Pred Tree: ((this is) (((((a group) of) children) playing) baseball))	Gold Tree: (this (is ((a group) (of (children (playing baseball))))))
Pred Tree: (((two people) ((((riding horses) on) a) rock)) path)	Gold Tree: ((two people) (riding (horses (on (a (rock path))))))
Pred Tree: ((a person) (((((wearing a) banana) headdress) and) necklace))	Gold Tree: ((a person) (wearing (a (banana (headdress (and necklace))))))
Pred Tree: ((((a person) (walking while)) ((carrying a) rainbow)) umbrella)	Gold Tree: ((a person) (walking (while (carrying (a (rainbow umbrella))))))
Pred Tree: ((ocean ((showing a) boat)) (((sailing on) the) waters))	Gold Tree: (ocean (showing ((a boat) (sailing (on (the waters))))))
Pred Tree: (((two horses) are) ((((walking through) a) river) together))	Gold Tree: ((two horses) (are (walking ((through (a river)) together))))
Pred Tree: (((this bed) has) ((a canopy) ((above it) .)))	Gold Tree: ((this bed) ((has ((a canopy) (above it))) .))
Pred Tree: ((there are) ((two men) (riding ((on their) skateboards))))	Gold Tree: (there (are ((two men) (riding (on (their skateboards))))))
Pred Tree: (((((sheep graze) ((in a) lushly)) green) mountain) meadow)	Gold Tree: (sheep (graze (in (a ((lushly green) (mountain meadow))))))
Pred Tree: ((decorated cake) (((((in rainbow) colors) congratulating) a) baby))	Gold Tree: ((decorated cake) ((in (rainbow colors)) (congratulating (a baby))))
Pred Tree: ((a cake) (for ((a couple) ((having a) baby))))	Gold Tree: ((a cake) (for ((a couple) (having (a baby)))))
Pred Tree: ((two people) ((riding skis) (((at a) ski) slope)))	Gold Tree: ((two people) (riding (skis (at (a (ski slope))))))
Pred Tree: ((a train) ((that is) (((on a) train) track)))	Gold Tree: ((a train) (that (is (on (a (train track))))))
Pred Tree: (((two ladies) ((on a) road)) ((with an) umbrella))	Gold Tree: ((two ladies) ((on (a road)) (with (an umbrella))))
Pred Tree: (((a red) plane) (flying (((in a) cloudless) sky)))	Gold Tree: ((a (red plane)) (flying (in (a (cloudless sky)))))
Pred Tree: ((boy holding) (((bowl of) (ice cream)) (sundae up)))	Gold Tree: (boy (holding ((bowl (of (ice (cream sundae)))) up)))
Pred Tree: (((this is) (a plane)) (((from the) front) view))	Gold Tree: (this (is ((a plane) (from (the (front view))))))
Pred Tree: ((a person) ((riding skis) (((on a) snowy) surface)))	Gold Tree: ((a person) (riding (skis (on (a (snowy surface))))))
Pred Tree: ((((a pole) that) has) ((a sign) (on it)))	Gold Tree: ((a pole) (that (has ((a sign) (on it)))))
Pred Tree: (((a plate) of) (((rice and) broccoli) (with meat)))	Gold Tree: ((a plate) ((of (rice (and broccoli))) (with meat)))
Pred Tree: (((a person) (in glasses)) (((is using) a) laptop))	Gold Tree: (((a person) (in glasses)) (is (using (a laptop))))
Pred Tree: (((a close) (((shot of) a) computer)) (keyboard .))	Gold Tree: ((a (close shot)) ((of (a (computer keyboard))) .))
Pred Tree: ((((the (dump truck)) and) (the crane)) (are working))	Gold Tree: (((the (dump truck)) (and (the crane))) (are working))
Pred Tree: (((a boy) (is (((out on) the) park))) flying)	Gold Tree: ((a boy) (is ((out (on (the park))) flying)))
Pred Tree: ((a person) ((walking down) (((an old) railroad) track)))	Gold Tree: ((a person) (walking (down (an (old (railroad track))))))
Pred Tree: ((((a dirty) train) is) (riding ((on the) tracks)))	Gold Tree: ((a (dirty train)) (is (riding (on (the tracks)))))
Pred Tree: ((a person) ((talking on) (((a large) cell) phone)))	Gold Tree: ((a person) (talking (on (a (large (cell phone))))))
Pred Tree: ((((a little) boy) (that is)) ((jumping a) skateboard))	Gold Tree: ((a (little boy)) (that (is (jumping (a skateboard)))))
Pred Tree: (((old fashioned) ((photo of) (city street))) (with car))	Gold Tree: (((old fashioned) photo) (of ((city street) (with car))))
Pred Tree: ((((a brown) cow) (((reaching for) a) tree)) limb)	Gold Tree: ((a (brown cow)) (reaching (for (a (tree limb)))))
Pred Tree: ((((a blind) cat) is) (sitting ((in a) cage)))	Gold Tree: ((a (blind cat)) (is (sitting (in (a cage)))))
Pred Tree: ((((((three zebras) and) two) other) animals) (grazing .))	Gold Tree: (((three zebras) (and (two (other animals)))) (grazing .))
Pred Tree: (((five bagels) are) ((((on a) metal) rack) .))	Gold Tree: ((five bagels) ((are (on (a (metal rack)))) .))
Pred Tree: ((an ((image of) ((two girls) walking))) (with umbrellas))	Gold Tree: ((an image) (of ((two girls) (walking (with umbrellas)))))
Pred Tree: ((pastries (((on a) wooden) table)) ((top in) kitchen))	Gold Tree: (pastries ((on (a (wooden (table top)))) (in kitchen)))
Pred Tree: ((fresh fruit) (((((and vegetables) on) a) stove) top))	Gold Tree: ((fresh (fruit (and vegetables))) (on (a (stove top))))
Pred Tree: ((((a home) bathroom) <unk>) ((decorated by) (a woman)))	Gold Tree: ((a (home bathroom)) (<unk> (decorated (by (a woman)))))
Pred Tree: (((two zebras) ((((standing close) to) a) little)) one)	Gold Tree: ((two zebras) (standing (close (to (a (little one))))))
Pred Tree: (((young boy) ((((sitting on) top) of) a)) briefcase)	Gold Tree: ((young boy) (sitting (on (top (of (a briefcase))))))
Pred Tree: ((((the bathroom) is) ((tiled black) and)) (white floors))	Gold Tree: ((the bathroom) (is (tiled ((black (and white)) floors))))
Pred Tree: ((two horses) ((have feathers) (((on their) head) .)))	Gold Tree: ((two horses) ((have (feathers (on (their head)))) .))
Pred Tree: (((two animals) get) ((((close through) a) fence) .))	Gold Tree: ((two animals) ((get (close (through (a fence)))) .))
Pred Tree: (((a number) of) ((baseball players) ((on a) field)))	Gold Tree: ((a number) ((of (baseball players)) (on (a field))))
Pred Tree: ((an ((image of) (a dog))) ((biting a) bone))	Gold Tree: ((an image) (of ((a dog) (biting (a bone)))))
Pred Tree: (((two giraffes) are) ((standing behind) ((a wood) fence)))	Gold Tree: ((two giraffes) (are (standing (behind (a (wood fence))))))
Pred Tree: (((a city) bus) ((((with hard) blue) double) seats))	Gold Tree: ((a (city bus)) (with ((hard blue) (double seats))))
Pred Tree: ((bench overlooking) (((snow capped) mountains) ((and green) waters)))	Gold Tree: (bench (overlooking (((snow capped) mountains) (and (green waters)))))
Pred Tree: (((two kayaks) (are shown)) (((on the) shore) .))	Gold Tree: ((two kayaks) ((are (shown (on (the shore)))) .))
Pred Tree: (elephants ((((in a) national) park) ((blowing dust) around)))	Gold Tree: ((elephants (in (a (national park)))) (blowing (dust around)))
Pred Tree: (((((((a group) of) elephants) with) one) elephant) raising)	Gold Tree: ((a group) ((of elephants) (with ((one elephant) raising))))
Pred Tree: (((a cake) ((((sits inside) of) a) protector)) case)	Gold Tree: ((a cake) (sits (inside (of (a (protector case))))))
Pred Tree: (((some giraffes) eatting) (((some grass) from) (some cages)))	Gold Tree: ((some giraffes) (eatting ((some grass) (from (some cages)))))
Pred Tree: ((multiple elephants) ((walking through) (((a heavily) wooded) area)))	Gold Tree: ((multiple elephants) (walking (through (a ((heavily wooded) area)))))
Pred Tree: ((a (polar bear)) ((((is standing) in) some) snow))	Gold Tree: ((a (polar bear)) (is (standing (in (some snow)))))
Pred Tree: (((a man) (in black)) (((opening a) fridge) smiling))	Gold Tree: (((a man) (in black)) (opening ((a fridge) smiling)))
Pred Tree: (((a hand) (((is holding) a) small)) (video player))	Gold Tree: ((a hand) (is (holding (a (small (video player))))))
Pred Tree: (someone (displaying ((((a silly) image) on) (a smartphone))))	Gold Tree: (someone (displaying ((a (silly image)) (on (a smartphone)))))
Pred Tree: (((a skateboarder) (doing tricks)) (((on the) walls) outside))	Gold Tree: ((a skateboarder) (doing (tricks (on ((the walls) outside)))))
Pred Tree: (((five bagels) ((((are sitting) on) a) silver)) tray)	Gold Tree: ((five bagels) (are (sitting (on (a (silver tray))))))
Pred Tree: (((((some skateboarders) (doing tricks)) and) people) (watching them))	Gold Tree: (((some skateboarders) (doing tricks)) (and (people (watching them))))
Pred Tree: ((five bagels) ((laid out) (((on a) oven) rack)))	Gold Tree: ((five bagels) (laid (out (on (a (oven rack))))))
Pred Tree: (((a young) man) (skating (((near a) residential) area)))	Gold Tree: ((a (young man)) (skating (near (a (residential area)))))
Pred Tree: (((a young) man) ((skate boarding) ((at night) .)))	Gold Tree: ((a (young man)) ((skate (boarding (at night))) .))
Pred Tree: (((a boy) ((in a) helmet)) ((rides a) skateboard))	Gold Tree: (((a boy) (in (a helmet))) (rides (a skateboard)))
Pred Tree: ((((two zebras) fighting) (((in a) cloud) of)) dust)	Gold Tree: ((two zebras) (fighting (in ((a cloud) (of dust)))))
Pred Tree: (((two people) (are (((snowboarding down) a) hill))) fast)	Gold Tree: ((two people) (are (snowboarding ((down (a hill)) fast))))
Pred Tree: ((((a table) that) has) ((some food) (on it)))	Gold Tree: ((a table) (that (has ((some food) (on it)))))
Pred Tree: ((((three hand) formed) (clay pots)) ((with dripping) paint))	Gold Tree: ((three hand) (formed ((clay pots) (with (dripping paint)))))
Pred Tree: ((((some pasta) and) fries) (((sitting on) a) plate))	Gold Tree: ((some (pasta (and fries))) (sitting (on (a plate))))
Pred Tree: ((((a man) taking) (a selfie)) ((eating something) fried))	Gold Tree: (((a man) (taking (a selfie))) (eating (something fried)))
Pred Tree: (((a zebra) is) ((standing outside) ((in the) snow)))	Gold Tree: ((a zebra) (is (standing (outside (in (the snow))))))
Pred Tree: (((two young) men) ((are outside) ((skateboarding together) .)))	Gold Tree: ((two (young men)) ((are (outside (skateboarding together))) .))
Pred Tree: (((giraffe ((reaching into) <unk>)) with) (trees (in background)))	Gold Tree: (giraffe (reaching (into (<unk> (with (trees (in background)))))))
Pred Tree: (((two medical) professionals) ((((inside of) an) hospital) .))	Gold Tree: ((two (medical professionals)) ((inside (of (an hospital))) .))
Pred Tree: ((a giraffe) ((eating from) (((a man) made) feeder)))	Gold Tree: ((a giraffe) (eating (from (a ((man made) feeder)))))
Pred Tree: (((((a skier) goes) (cross country)) consulting) (a sign))	Gold Tree: ((a skier) (goes ((cross country) (consulting (a sign)))))
Pred Tree: ((((a white) plate) with) ((some food) (on it)))	Gold Tree: ((a (white plate)) (with ((some food) (on it))))
Pred Tree: ((a kitchen) (((with cookies) in) ((the oven) baking)))	Gold Tree: ((a kitchen) ((with (cookies (in (the oven)))) baking))
Pred Tree: (((a skateboarder) is) ((carrying groceries) ((on his) board)))	Gold Tree: ((a skateboarder) (is (carrying (groceries (on (his board))))))
Pred Tree: (((a man) (is standing)) (((on a) snowy) slope))	Gold Tree: ((a man) (is (standing (on (a (snowy slope))))))
Pred Tree: (((((a group) of) people) ((underneath a) large)) clock)	Gold Tree: ((a group) ((of people) (underneath (a (large clock)))))
Pred Tree: (((((a toddler) plays) with) scissors) ((and construction) paper))	Gold Tree: ((a toddler) (plays (with (scissors (and (construction paper))))))
Pred Tree: ((this is) ((fresh fruit) (((sitting in) crates) together)))	Gold Tree: (this (is ((fresh fruit) (sitting ((in crates) together)))))
Pred Tree: (people ((are waiting) ((((for the) train) to) arrive)))	Gold Tree: (people (are (waiting (for ((the train) (to arrive))))))
Pred Tree: (((a person) ((riding a) horse)) ((though a) field))	Gold Tree: ((a person) (riding ((a horse) (though (a field)))))
Pred Tree: ((((a ruler) board) with) (supplies (sitting (on it))))	Gold Tree: ((a (ruler board)) (with (supplies (sitting (on it)))))
Pred Tree: ((there is) ((a giant) ((stuffed bear) (wearing skis))))	Gold Tree: (there (is ((a (giant (stuffed bear))) (wearing skis))))
Pred Tree: ((a large) ((dump truck) (((at a) construction) site)))	Gold Tree: ((a (large (dump truck))) (at (a (construction site))))
Pred Tree: ((a (parked truck)) ((((sits next) to) a) shed))	Gold Tree: ((a (parked truck)) (sits (next (to (a shed)))))
Pred Tree: (((an umbrella) is) (((at the) beach) (tilted over)))	Gold Tree: ((an umbrella) (is ((at (the beach)) (tilted over))))
Pred Tree: (((a cat) (((sitting in) an) office)) (chair .))	Gold Tree: ((a cat) ((sitting (in (an (office chair)))) .))
Pred Tree: ((((a living) room) with) (((wooden floors) and) furniture))	Gold Tree: ((a (living room)) (with (wooden (floors (and furniture)))))
Pred Tree: (((the girl) is) (((brushing her) teeth) (and toothpaste)))	Gold Tree: ((the girl) (is (brushing (her (teeth (and toothpaste))))))
Pred Tree: ((((some cows) (((standing in) an) open)) outside) area)	Gold Tree: ((some cows) (standing (in (an (open (outside area))))))
Pred Tree: (((a man) is) ((holding something) ((in his) hand)))	Gold Tree: ((a man) (is (holding (something (in (his hand))))))
Pred Tree: (((a man) ((holding a) fragile)) ((peice of) glass))	Gold Tree: ((a man) (holding ((a (fragile peice)) (of glass))))
Pred Tree: (((((a bunch) of) people) ((in a) busy)) area)	Gold Tree: (((a bunch) (of people)) (in (a (busy area))))
Pred Tree: (((a fat) (polar bear)) (walking ((along the) rocks)))	Gold Tree: ((a (fat (polar bear))) (walking (along (the rocks))))
Pred Tree: (((two dogs) ((((laying down) on) a) brown)) couch)	Gold Tree: ((two dogs) (laying (down (on (a (brown couch))))))
Pred Tree: (((((a young) woman) ((holding a) giant)) tennis) racquet)	Gold Tree: ((a (young woman)) (holding (a (giant (tennis racquet)))))
Pred Tree: (((a (stop sign)) (((posted in) a) foreign)) language)	Gold Tree: ((a (stop sign)) (posted (in (a (foreign language)))))
Pred Tree: (((((a couple) of) tennis) rackets) ((are laying) together))	Gold Tree: (((a couple) (of (tennis rackets))) (are (laying together)))
Pred Tree: ((((a bunch) of) tennis) (rackets ((are <unk>) together)))	Gold Tree: (((a bunch) (of (tennis rackets))) (are (<unk> together)))
Pred Tree: (((a man) ((holding a) large)) ((pair of) scissors))	Gold Tree: ((a man) (holding ((a (large pair)) (of scissors))))
Pred Tree: ((a woman) (((bathing her) dog) ((in the) sink)))	Gold Tree: ((a woman) (bathing ((her dog) (in (the sink)))))
Pred Tree: (((there are) (different kites)) (((flying in) the) sky))	Gold Tree: (there (are ((different kites) (flying (in (the sky))))))
Pred Tree: ((((a big) street) with) (houses ((all around) it)))	Gold Tree: ((a (big street)) (with (houses (all (around it)))))
Pred Tree: (((a purple) mug) (((is next) to) (a bowl)))	Gold Tree: ((a (purple mug)) (is (next (to (a bowl)))))
Pred Tree: ((((a big) fireplace) with) ((logs burning) (in it)))	Gold Tree: ((a (big fireplace)) (with (logs (burning (in it)))))
Pred Tree: (((a clock) (((attached to) a) brick)) (building .))	Gold Tree: ((a clock) ((attached (to (a (brick building)))) .))
Pred Tree: (((a close) ((up of) (a person))) (slicing pizza))	Gold Tree: ((a (close up)) (of ((a person) (slicing pizza))))
Pred Tree: ((a large) ((((pepperoni and) mushroom) pizza) (being cut)))	Gold Tree: ((a (large (pepperoni (and (mushroom pizza))))) (being cut))
Pred Tree: ((there is) (((a large) pizza) ((on a) plate)))	Gold Tree: (there (is ((a (large pizza)) (on (a plate)))))
Pred Tree: (((((a <unk>) clock) that) currently) ((reads N:N) .))	Gold Tree: ((a (<unk> clock)) ((that (currently (reads N:N))) .))
Pred Tree: (((an uncut) pizza) (sits (((on a) serving) plate)))	Gold Tree: ((an (uncut pizza)) (sits (on (a (serving plate)))))
Pred Tree: (((a close) ((up of) (a plate))) (with food))	Gold Tree: ((a (close up)) (of ((a plate) (with food))))
Pred Tree: (((base (ball players)) entertaining) (((a crowd) of) spectators))	Gold Tree: ((base (ball players)) (entertaining ((a crowd) (of spectators))))
Pred Tree: ((((a big) tower) that) (((is surrounded) by) trees))	Gold Tree: ((a (big tower)) (that (is (surrounded (by trees)))))
Pred Tree: ((((a table) with) (a vase)) ((with many) flowers))	Gold Tree: ((a table) (with ((a vase) (with (many flowers)))))
Pred Tree: (((a tan) cat) (sitting (((on a) stone) patio)))	Gold Tree: ((a (tan cat)) (sitting (on (a (stone patio)))))
Pred Tree: (((a man) holding) (((a half) eaten) (chocolate donut)))	Gold Tree: ((a man) (holding (a ((half eaten) (chocolate donut)))))
Pred Tree: ((a person) ((((is cutting) in) to) (a cake)))	Gold Tree: ((a person) (is (cutting (in (to (a cake))))))
Pred Tree: (((a person) ((((cutting slices) on) a) dessert)) cake)	Gold Tree: ((a person) (cutting (slices (on (a (dessert cake))))))
Pred Tree: (((a close) ((up of) (a vandalized))) (stop sign))	Gold Tree: ((a (close up)) (of (a (vandalized (stop sign)))))
Pred Tree: ((((a hotdog) (completely loaded)) with) ((onions and) leaves))	Gold Tree: ((a hotdog) (completely (loaded (with (onions (and leaves))))))
Pred Tree: (((white flowers) in) ((a vase) ((with arranged) leaves)))	Gold Tree: ((white flowers) (in ((a vase) (with (arranged leaves)))))
Pred Tree: ((little dude) (((shredding the) gnar) ((on flat) ground)))	Gold Tree: ((little dude) (shredding ((the gnar) (on (flat ground)))))
Pred Tree: ((cars (that are)) ((stopped at) (a (traffic light))))	Gold Tree: (cars (that (are (stopped (at (a (traffic light)))))))
Pred Tree: ((((a young) boy) (is ((feeding a) large))) giraffe)	Gold Tree: ((a (young boy)) (is (feeding (a (large giraffe)))))
Pred Tree: ((a giraffe) (walking ((((through some) tall) tree) trunks)))	Gold Tree: ((a giraffe) (walking (through (some (tall (tree trunks))))))
Pred Tree: (((a zebra) is) ((((in a) zoo) habitat) .))	Gold Tree: ((a zebra) ((is (in (a (zoo habitat)))) .))
Pred Tree: ((((intricately displayed) (((bananas at) an) outside)) farmers) market)	Gold Tree: (intricately (displayed (bananas (at (an (outside (farmers market)))))))
Pred Tree: (((((a picture) taken) ((with a) fish)) bowl) lens)	Gold Tree: ((a picture) (taken (with (a (fish (bowl lens))))))
Pred Tree: (((donuts ((on a) tray)) in) (a (display case)))	Gold Tree: (donuts (on ((a tray) (in (a (display case))))))
Pred Tree: (((a fisheye) lens) ((photograph of) ((a residential) bathroom)))	Gold Tree: ((a (fisheye (lens photograph))) (of (a (residential bathroom))))
Pred Tree: (((((a bunch) of) doughnuts) with) (sprinkles (on them)))	Gold Tree: ((a bunch) ((of doughnuts) (with (sprinkles (on them)))))
Pred Tree: (((a bathroom) with) (((white fixtures) and) (green flooring)))	Gold Tree: ((a bathroom) (with ((white fixtures) (and (green flooring)))))
Pred Tree: ((((an oven) and) (a range)) ((on a) table))	Gold Tree: (((an oven) (and (a range))) (on (a table)))
Pred Tree: ((((a large) bathroom) that) ((is very) (well kept)))	Gold Tree: ((a (large bathroom)) (that (is ((very well) kept))))
Pred Tree: (((a plate) with) (((a sandwich) and) (a pickle)))	Gold Tree: ((a plate) (with ((a sandwich) (and (a pickle)))))
Pred Tree: ((a ((picture of) (a bathroom))) ((with sliding) shower))	Gold Tree: ((a picture) (of ((a bathroom) (with (sliding shower)))))
Pred Tree: (((tiled bathroom) with) (((a couple) towels) (hanging up)))	Gold Tree: ((tiled bathroom) (with ((a (couple towels)) (hanging up))))
Pred Tree: ((((a woman) (((walking through) a) major)) train) station)	Gold Tree: ((a woman) (walking (through (a (major (train station))))))
Pred Tree: ((a stove) (((standing next) to) ((a fridge) freezer)))	Gold Tree: ((a stove) (standing (next (to (a (fridge freezer))))))
Pred Tree: (((a man) (((stocking up) his) kitchen)) (with groceries))	Gold Tree: ((a man) (stocking (up ((his kitchen) (with groceries)))))
Pred Tree: (((picture of) ((a bathroom) with)) ((shelf over) toilet))	Gold Tree: (picture (of ((a bathroom) (with (shelf (over toilet))))))
Pred Tree: (((a bathroom) (is mostly)) (((decorated in) white) .))	Gold Tree: ((a bathroom) ((is (mostly (decorated (in white)))) .))
Pred Tree: (((a plate) with) ((yogurt and) ((pancakes and) ham)))	Gold Tree: ((a plate) (with (yogurt (and (pancakes (and ham))))))
Pred Tree: ((((a small) elephant) (((walks in) a) lush)) forest)	Gold Tree: ((a (small elephant)) (walks (in (a (lush forest)))))
Pred Tree: (((many people) (((gather around) a) building)) (with clocks))	Gold Tree: ((many people) (gather (around ((a building) (with clocks)))))
Pred Tree: (((a pair) of) ((rusty scissors) ((is standing) up)))	Gold Tree: (((a pair) (of (rusty scissors))) (is (standing up)))
Pred Tree: (((a desk) with) ((multiple monitors) ((keyboards and) laptops)))	Gold Tree: ((a desk) (with (multiple (monitors (keyboards (and laptops))))))
Pred Tree: ((motorcyclists waiting) ((in traffic) (((on a) rainy) day)))	Gold Tree: (motorcyclists (waiting ((in traffic) (on (a (rainy day))))))
Pred Tree: (((a toilet) ((((is sitting) in) a) home)) bathroom)	Gold Tree: ((a toilet) (is (sitting (in (a (home bathroom))))))
Pred Tree: ((some (black animals)) ((are laying) ((in the) grass)))	Gold Tree: ((some (black animals)) (are (laying (in (the grass)))))
Pred Tree: ((there is) ((a toilet) (((in the) bathrom) and)))	Gold Tree: (there ((is ((a toilet) (in (the bathrom)))) and))
Pred Tree: ((((a computer) screen) ((keyboard mouse) and)) (an ipod))	Gold Tree: ((a (computer (screen (keyboard mouse)))) (and (an ipod)))
Pred Tree: ((there are) (animals (((in the) grass) (lying around))))	Gold Tree: (there (are (animals ((in (the grass)) (lying around)))))
Pred Tree: (((a young) boy) (sleeping ((on floral) (printed sheets))))	Gold Tree: ((a (young boy)) (sleeping (on (floral (printed sheets)))))
Pred Tree: (((some purple) bananas) (((and other) fruits) (are together)))	Gold Tree: (((some (purple bananas)) (and (other fruits))) (are together))
Pred Tree: (((a pile) of) ((black bananas) ((and other) fruit)))	Gold Tree: ((a pile) (of ((black bananas) (and (other fruit)))))
Pred Tree: (((fans observing) (a (baseball game))) ((in process) .))	Gold Tree: (fans ((observing ((a (baseball game)) (in process))) .))
Pred Tree: ((a person) ((riding skis) (((on a) snowy) surface)))	Gold Tree: ((a person) (riding (skis (on (a (snowy surface))))))
Pred Tree: ((a (cutting board)) (((with several) heads) (of broccoli)))	Gold Tree: ((a (cutting board)) (with ((several heads) (of broccoli))))
Pred Tree: (((((a pot) of) food) contains) ((meats and) vegetables))	Gold Tree: (((a pot) (of food)) (contains (meats (and vegetables))))
Pred Tree: ((a person) ((riding skis) (((on a) snowy) surface)))	Gold Tree: ((a person) (riding (skis (on (a (snowy surface))))))
Pred Tree: (((a road) filled) (with (cars ((in a) desert))))	Gold Tree: ((a road) (filled ((with cars) (in (a desert)))))
Pred Tree: (((person examining) (red plane)) (out ((on the) runway)))	Gold Tree: (person (examining ((red plane) (out (on (the runway))))))
Pred Tree: (((traditional american) comfort) ((food arranged) ((on a) plate)))	Gold Tree: ((traditional (american (comfort food))) (arranged (on (a plate))))
Pred Tree: (((a tray) of) (((black and) white) (sprinkled doughnuts)))	Gold Tree: ((a tray) (of ((black (and white)) (sprinkled doughnuts))))
Pred Tree: (((a person) (that is)) ((reaching for) (a sandwich)))	Gold Tree: ((a person) (that (is (reaching (for (a sandwich))))))
Pred Tree: (((the (basketball players)) (are playing)) ((in a) game))	Gold Tree: ((the (basketball players)) (are (playing (in (a game)))))
Pred Tree: ((two children) (sitting (((in the) grass) (eating food))))	Gold Tree: ((two children) ((sitting (in (the grass))) (eating food)))
Pred Tree: ((there are) (((many sinks) in) ((this public) bathroom)))	Gold Tree: (there (are ((many sinks) (in (this (public bathroom))))))
Pred Tree: (((three (white sinks)) in) ((a bathroom) (under mirrors)))	Gold Tree: ((three (white sinks)) (in ((a bathroom) (under mirrors))))
Pred Tree: (((a man) (that is)) (((playing a) wii) game))	Gold Tree: ((a man) (that (is (playing (a (wii game))))))
Pred Tree: ((((a small) public) bathroom) (with (the (seat up))))	Gold Tree: ((a (small (public bathroom))) (with ((the seat) up)))
Pred Tree: (((a desktop) computer) ((((with a) grassy) field) background))	Gold Tree: ((a (desktop computer)) (with (a (grassy (field background)))))
Pred Tree: ((a toilet) (((((sitting outside) beside) a) building) .))	Gold Tree: ((a toilet) ((sitting (outside (beside (a building)))) .))
